actual_coef,non_sig_ratio,noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
"[0.         0.         0.74851501 0.         0.         0.
 0.37049337 0.         1.         0.         0.         0.79807465
 0.         0.         0.         0.         0.         0.
 0.         0.        ]",0.14285714285714285,0,20,20,29.438970183741368,25.241777510483324,36.183140545673126,0.028744848624748104,0.016041568279103687,0.2860156327440336,0.022890285000420604,0.013202703237677282,0.014091298802330121,0.3366530953106435,0.08307109383004295,0.021411574506569102,0.08307102709513688,0.027231277273578575,0.029843492244029712,0.08398830931673021,0.019837424678073198,0.019837424678073198
"[0.         0.         0.         0.06889289 0.         0.79292945
 0.         0.         0.         0.         0.4188906  0.
 0.79831391 0.87965113 0.         0.         0.         1.
 0.         0.         0.84772728 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.15666054 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.2150103  0.         0.         0.         0.         0.
 0.         0.83042807 0.         0.         0.         0.
 0.         0.         0.66892924 0.         0.85847254 0.        ]",0.14285714285714285,0,20,60,99.82344428830794,91.1321813683353,62.33434136752434,0.05550255405053533,0.052332830811558956,0.19959016122795348,0.05801426556498754,0.048799956558547214,0.06488557726354614,0.23904962038964156,0.07880987799067474,0.05005452825572718,0.07880988685565948,0.055479650693646305,0.05349880085232157,0.052050887864228276,0.048708886676273475,0.048708886676273475
"[0.         0.         0.         0.         0.         0.60023303
 0.         0.         0.         0.         0.         0.
 0.         0.84460577 0.         0.         0.36457507 0.
 0.         0.91291928 0.         0.         0.         0.20556501
 0.         0.         0.         0.37564148 0.         0.
 0.         0.         0.02336279 0.88305997 0.         0.
 0.         0.         0.         0.         0.         0.
 0.73511916 0.         0.         0.         0.         0.63822831
 0.         0.         0.         1.         0.         0.91120854
 0.99429472 0.         0.         0.         0.95715252 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.3449611  0.         0.         0.
 0.         0.         0.         0.         0.80430264 0.
 0.38879678 0.         0.         0.54540454 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00543547 0.17323019 0.
 0.         0.         0.         0.        ]",0.14285714285714285,0,20,100,152.63373472833027,144.70363203819164,99.2728807557447,0.06171062945086269,0.08365570468237475,0.21984581328546912,0.05597640585174708,0.05383637500044038,0.1345342812806096,0.17325846075698428,0.09404805505244643,0.06977199235556995,0.0940480531155483,0.07591995772259656,0.07764483469019372,0.061322546246119956,0.06489316401593481,0.06489316401593481
"[0.14057792 0.7286109  0.         0.         0.16645875 0.
 1.         0.40502603 0.         0.         0.         0.
 0.         0.97329601 0.         0.91192157 0.         0.
 0.         0.34677324]",0.14285714285714285,0,40,20,57.5144737150887,49.52837302451588,52.85681698988279,0.08902302731744312,0.06999708172829368,0.2735803867990741,0.0708985957697128,0.05326610289635433,0.04691855339212945,0.22846247194840297,0.0697176157698917,0.0643259263270146,0.11657851107530962,0.061874486999637865,0.061344990439527826,0.07439471365987979,0.06527210108827552,0.06527210108827552
"[0.18175837 0.         0.         0.         0.         0.09255599
 0.         0.         0.         0.38508131 0.08823202 0.04015146
 0.         0.36101919 0.31712052 0.46822891 0.86247325 0.
 0.77038144 0.         0.         0.20144437 0.23554643 0.
 0.86195174 0.         0.         0.         0.         0.
 0.77875577 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.3696454  0.
 0.         0.         1.         0.         0.         0.
 0.         0.84335647 0.         0.         0.25402938 0.22786778
 0.33025033 0.2329178  0.         0.86865878 0.83128705 0.7335571 ]",0.14285714285714285,0,40,60,132.65767638426,125.54992866049867,91.42007908281957,0.11232065273217515,0.12308185038129744,0.29240025592696706,0.07353676363044138,0.0696920982398017,0.0690300656616781,0.2515050139961146,0.10528336915239489,0.1032346054068666,0.10528334891942855,0.07753103852003045,0.07401739741865952,0.09821969857973603,0.07322798978481261,0.07322798978481261
"[0.         0.35349642 0.         0.         0.         0.
 0.57093117 0.         0.23929693 0.         0.         0.47586666
 0.64758196 0.         0.12629658 1.         0.37749577 0.13552559
 0.         0.         0.         0.         0.         0.29305603
 0.9143734  0.         0.         0.         0.75452535 0.12146383
 0.         0.         0.80530051 0.         0.37236696 0.66254175
 0.         0.30970856 0.         0.         0.         0.69862067
 0.46167592 0.         0.41969357 0.54497742 0.         0.
 0.         0.         0.         0.         0.83550493 0.
 0.         0.92142653 0.60846305 0.         0.         0.
 0.63951727 0.         0.18353595 0.63968868 0.15557649 0.62705927
 0.39082022 0.         0.46730163 0.84461867 0.         0.
 0.         0.         0.         0.03765493 0.         0.
 0.         0.2806672  0.         0.28787313 0.         0.
 0.         0.         0.13490016 0.         0.         0.10074921
 0.         0.         0.         0.         0.4952831  0.
 0.55559788 0.         0.         0.57152944]",0.14285714285714285,0,40,100,210.32047172337528,209.8210600747112,118.39088697365146,0.14615389050335886,0.19360285498097418,0.2616079906511404,0.1251501371883742,0.11508318803788148,0.12202191957292358,0.15506665554769672,0.11505480627329932,0.13192477166305142,0.11505480159217958,0.11452261384454115,0.11938498151484893,0.13728193325152063,0.11375324079915133,0.11375324079915133
"[0.39878439 0.76949663 0.3687395  0.         0.19171094 0.
 0.12308092 0.30435368 0.53913992 0.         0.         1.
 0.         0.64437146 0.         0.3610655  0.         0.
 0.25058594 0.43018884]",0.14285714285714285,0,60,20,67.52501814345551,59.21588162711643,43.04191506822363,0.15395260988584,0.13261771857356186,0.23122820248287215,0.13179767832586853,0.10251558905484101,0.015355321535231687,0.18671462876998407,0.10793082832684586,0.11963926829818787,0.10793079119478692,0.11741733869872413,0.12158865164875254,0.10277925728616182,0.10703056854008405,0.10703056854008405
"[0.07499226 0.19627076 0.54278094 0.27932355 0.60680392 0.97613989
 0.         0.51751093 0.59515817 0.77498364 1.         0.
 0.         0.89392878 0.2812926  0.17707176 0.46020101 0.
 0.         0.         0.         0.         0.33538038 0.
 0.31189815 0.91604876 0.         0.04574506 0.71956453 0.63347405
 0.         0.         0.96693257 0.         0.86811026 0.32794333
 0.87191369 0.         0.75001961 0.89890641 0.         0.80106566
 0.         0.         0.         0.55995767 0.         0.39497342
 0.         0.         0.         0.83501592 0.73030524 0.64278297
 0.         0.27831384 0.75707799 0.03341702 0.         0.03396107]",0.14285714285714285,0,60,60,255.5039729225926,238.0414232614804,120.37611961312469,0.20896333146281953,0.2374223303654384,0.33543708309137915,0.1831238192606989,0.16346462560948047,0.1942958399803666,0.25594503188905293,0.18575509959730738,0.19021899872071021,0.18575510545558,0.18100449635373858,0.1790144385850222,0.20035493569090243,0.1658302084173523,0.1658302084173523
"[0.4949586  0.80284711 0.         0.80749517 0.34132515 0.
 0.86067623 0.73356724 0.         0.         0.86481462 0.
 0.55098307 0.         0.91924814 0.         0.         0.24326061
 0.87490682 0.45996664 0.78327749 0.25909367 0.         0.55512424
 0.         0.99886713 0.         0.90948588 0.         0.
 0.42033632 0.6785373  0.40881987 0.         0.36748367 0.94113045
 0.41144759 0.73143227 0.36788983 0.         0.         0.51223158
 0.68372772 0.         0.         0.         0.         0.5861699
 0.91342864 0.         0.75456394 0.         0.         0.
 0.34231661 0.03073053 1.         0.37407474 0.31089565 0.
 0.09999161 0.         0.14803754 0.37896246 0.         0.
 0.61669289 0.         0.46095451 0.         0.54295133 0.93459959
 0.         0.81293117 0.         0.07512561 0.54687045 0.4228417
 0.17042017 0.         0.39457643 0.         0.90381922 0.
 0.94606954 0.41654962 0.06040645 0.         0.02287981 0.98904124
 0.         0.10260662 0.63127351 0.         0.         0.33948874
 0.73884567 0.         0.07765585 0.65472637]",0.14285714285714285,0,60,100,333.25587895532675,316.09303592394434,154.4869520358618,0.2728902168547408,0.2585453398047231,0.32399453689969904,0.23071213775957475,0.2157234834203998,0.1775057843141749,0.2333269666704599,0.20595123938976115,0.24234048791456153,0.20595126238156006,0.22402612569416397,0.23202531448144126,0.2497356811053009,0.21312710217755998,0.21312710217755998
"[0.38109077 0.810833   0.03362472 0.93050848 0.         0.38595193
 1.         0.60977987 0.         0.73353006 0.94157475 0.65389185
 0.         0.         0.69288862 0.95383301 0.25823811 0.91337543
 0.90615897 0.84468569]",0.14285714285714285,0,80,20,109.45994643998112,100.03226500785388,51.07108167892747,0.31215418066383105,0.23172297171573178,0.48994644200940163,0.3307602404482216,0.25363455750929986,0.04374976564948282,0.35894186560158514,0.2547913113225403,0.2776528366599099,0.20303292059012312,0.26663848614988667,0.28225029717752204,0.23805656932962113,0.22300046650304067,0.2454191912977622
"[0.73345516 0.         0.86052556 0.41273144 0.80483116 0.84876104
 1.         0.         0.63653563 0.77241758 0.         0.77423148
 0.         0.12386603 0.79561285 0.46419309 0.         0.
 0.82447285 0.40227943 0.9280182  0.61098077 0.92822396 0.23586992
 0.18302159 0.         0.87139579 0.15799412 0.         0.4083661
 0.51878104 0.         0.52361817 0.46502102 0.05928888 0.41828903
 0.2262931  0.21801856 0.61219522 0.79301085 0.71650027 0.62432387
 0.84072125 0.25634637 0.64086101 0.58623782 0.         0.89439805
 0.00256406 0.4752336  0.         0.         0.39362739 0.31794581
 0.79187308 0.08408096 0.52739597 0.73883927 0.24800234 0.93331536]",0.14285714285714285,0,80,60,263.57056125690576,244.09886454497777,151.02816068602706,0.33302834654504837,0.272077006336563,0.34189955754083046,0.3056578944604929,0.27693785883078154,0.15456285155836366,0.3107257305061015,0.2435477989076592,0.2891407768841026,0.2435477813898045,0.2837499350975221,0.28544219931615084,0.29977081061323585,0.2690577838888048,0.2690577838888048
"[0.72050206 0.65320819 0.66403649 0.         0.         0.11830961
 0.         0.5064117  0.         0.13506509 0.94830387 0.60129542
 0.67987339 0.         0.55327294 0.         0.26664481 0.04504209
 0.         0.34013435 0.57986017 0.70505204 0.36241116 0.45078585
 0.90959678 0.67712498 0.40495971 0.         0.59283488 0.61562951
 0.         0.         0.8214075  0.84508892 0.96517348 0.99895012
 0.71576682 0.27902518 0.63779152 0.94940432 0.97780009 0.88993747
 0.81106479 0.97172331 0.82733368 0.18292286 0.4124954  0.86687586
 1.         0.37085302 0.45219405 0.63399296 0.17562333 0.
 0.7851279  0.         0.         0.58631538 0.50394017 0.13510104
 0.42425606 0.         0.85528847 0.46120661 0.90350459 0.99418644
 0.29235387 0.66542375 0.1860212  0.08473949 0.15382606 0.
 0.38255076 0.40077297 0.56905447 0.         0.39351261 0.97160883
 0.3286861  0.02685995 0.51060281 0.30673012 0.02569672 0.24755938
 0.13475758 0.17870707 0.82879831 0.         0.61061401 0.68707893
 0.05605646 0.90281533 0.52757509 0.         0.34282235 0.96542234
 0.         0.         0.84574501 0.93353791]",0.14285714285714285,0,80,100,396.40116713917104,384.6092851863407,199.25149570051252,0.33497481703247267,0.3039750564947067,0.37752685875339004,0.3745081808620823,0.35748218893152134,0.20540321444010934,0.31599551189074676,0.2738597501638715,0.3143548564070253,0.27385968621968954,0.28546688303806006,0.3130451605027736,0.35744039881017897,0.30630073706052635,0.30630073706052635
